X,Y,施設名,施設名かな,施設名（施,所在地,地区名,詳細情報,大分類,小分類,カテゴリ,アイコン番,施設ID
135.4856182,34.59634278,大和橋,やまとばし,大和橋（やまとばし）,住之江区安立4丁目〜堺市,住之江区,大阪市と堺市を結ぶ大和橋は、大和川の開削と共に宝永元年（1704年）、紀州街道が川を渡るところに架けられた公儀橋であり、当時、大和川にはこの橋しかありませんでした。大和橋は洪水のたびに修復が繰り返され、明治18年の大洪水によって大きな被害を受けたため、大正5年・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37742
135.5050609,34.5908025,大阪市立大学（杉本キャンパス）,おおさかしりつだいがく（すぎもときゃんぱす）,大阪市立大学（杉本キャンパス）（おおさかしりつだいがく（すぎもときゃんぱす））,住吉区杉本3丁目3番138号,住吉区,大阪市の南部、大和川を臨む地にある杉本キャンパスは緑豊かな清々しい環境が魅力の1つとなっている。杉本キャンパスのシンボル的存在である1号館（昭和9年（1934年）竣工）は国の登録有形文化財に登録されている。敷地中央にある「学術情報総合センター」は世界的に貴重な・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19483
135.5054691,34.59221092,市立大学学術情報総合センター,しりつだいがくがくじゅつじょうほうそうごうせんたー,市立大学学術情報総合センター（しりつだいがくがくじゅつじょうほうそうごうせんたー）,住吉区杉本3丁目3番138号,住吉区,詳細情報なし,文化・観光,図書館,文化・観光/図書館,151,386
135.5180768,34.59493889,大依羅神社,おおよさみじんじゃ,大依羅神社（おおよさみじんじゃ）,住吉区庭井2丁目18番16号,住吉区,この神社は、当時の豪族依綱吾彦氏の祖神、建豊波豆羅和気王（たけとよはづらわけのきみ）、住吉三神を祭神としている。式内社で、古くは朝廷から住吉大社に次ぐ扱いを受けていた。神社の南側参道前には6世紀から７世紀に造成された日本で最も古いとされる依綱池跡碑があり・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19501
135.5206666,34.59830642,真宗大谷派西光寺,しんしゅうおおたにはさいこうじ,真宗大谷派西光寺（しんしゅうおおたにはさいこうじ）,住吉区苅田6丁目10番5号,住吉区,真宗東本願寺派の末寺で、的場山と号す。阿弥陀仏を本尊とする。的場才門太郎というものが、正安年間（1299−1301）浄土真宗に帰依し本寺を草創したと伝えられる。弘冶年間（1555-1557）にいたって西光寺という寺号を称した。当時の住職浄円が中興の祖とされている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19479
135.5205844,34.59851494,苅田の大楠,かりたのおおくす,苅田の大楠（かりたのおおくす）,住吉区苅田6丁目10番12号,住吉区,苅田の鎮守様は、草津大歳神社といい、現在の苅田福祉会館のある場所に鎮座していた。大阪市の保存樹に指定されている「苅田の大楠」はご神木。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19480
135.4752777,34.60234483,加賀屋新田会所跡,かがやしんでんかいしょあと,加賀屋新田会所跡（かがやしんでんかいしょあと）,住之江区南加賀屋4丁目8番,住之江区,加賀屋甚兵衛が開発した加賀屋新田の管理のために、会所兼別邸として約250年前に建てた建物と庭園を修復・整備したもの。敷地内にある数寄屋風（すきやふう）茶室（鳳鳴亭（ほうめいてい））、書院、居宅は平成13年（2001年）に市の有形文化財・建造物に、会所跡は史跡に指・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37747
135.4749253,34.60640597,大阪市立住之江図書館,おおさかしりつすみのえとしょかん,大阪市立住之江図書館（おおさかしりつすみのえとしょかん）,住之江区南加賀屋3-1-20,住之江区,詳細情報なし,文化・観光,図書館,文化・観光/図書館,151,137
135.4752858,34.61101069,住之江公園,すみのえこうえん,住之江公園（すみのえこうえん）,住之江区南加賀屋1丁目1番,住之江区,昭和5年（1930年）に開設された府営公園。花と緑に満ちた都会のなかのオアシスとして親しまれている。「花や緑とふれあう」「緑の中で憩う」「スポーツを楽しむ」をテーマに、自然と親しめる花と緑のスクエア、児童遊戯場、プールや球技広場が整備されている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37745
135.4738749,34.60988319,大阪護國神社と杜,おおさかごこくじんじゃともり,大阪護國神社と杜（おおさかごこくじんじゃともり）,住之江区南加賀屋1丁目1番77号,住之江区,昭和5年（1930年）に開設された府営公園。花と緑に満ちた都会のなかのオアシスとして親しまれている。「花や緑とふれあう」「緑の中で憩う」「スポーツを楽しむ」をテーマに、自然と親しめる花と緑のスクエア、児童遊戯場、プールや球技広場が整備されている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37746
135.4884634,34.61199808,住吉公園,すみよしこうえん,住吉公園（すみよしこうえん）,住之江区浜口東1丁目1番,住之江区,明治6年（1873年）の太政官布告に基づき住吉大社境内の一部に開設された歴史を有する公園である。遊戯広場や池を巡る遊歩道の周囲には運動場や野球場、体育館などのスポーツ施設が整備されているほか、四季を彩る草花の多さが特徴となっている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37749
135.4868679,34.61318581,住吉高燈籠,すみよしたかどうろう,住吉高燈籠（すみよしたかどうろう）,住之江区浜口西1丁目,住之江区,住吉高燈籠は美しい景観を誇ったすみのえの浜を実証するもので、建設は江戸時代中頃と考えられる。付近の浜辺の埋立てに伴い海から遠ざかり、大正末期には灯台の役目を終えた。昭和49年（1974年）、現在の地に、昔の形状で鉄筋コンクリート造により再建された。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37748
135.461873,34.62545389,大正区の渡船場の景観,たいしょうくのとせんじょうのけいかん,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,大正区船町1丁目1番、住之江区平林北1丁目1番,大正区,大正区は四方を川と海に囲まれた地域であり、橋梁が整備された現在も、渡船は、区民の生活に欠かせない貴重な足としての役割を担っている。市内に8ヶ所ある渡船場のうち7ヶ所は大正区にあり、その景観には、水の都に思いを馳せさせるとともに、深く歴史を感じさせる力がある,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19514
135.4627179,34.6265845,新木津川大橋と木津川渡船場,しんきづがわおおはしときづがわとせんじょう,新木津川大橋と木津川渡船場（しんきづがわおおはしときづがわとせんじょう）,大正区船町1丁目1番、住之江区平林北1丁目1番,大正区,木津川渡船は大正区船町1丁目と住之江区平林北1丁目を結んでいる(岸壁間238m)。昭和30年からカーフェリーを運航し乗用車から大型トラックまで運搬し得る能力を持っていたが、上流部に千本松大橋が開通し、今は人と自転車のみを運ぶ渡船となっている。新木津川大橋は、木津川,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19456
135.4738884,34.62568969,名村造船所大阪工場跡地,なむらぞうせんじょおおさかこうじょうあとち,名村造船所大阪工場跡地（なむらぞうせんじょおおさかこうじょうあとち）,住之江区北加賀屋4丁目1番55号,住之江区,昭和6年（1931年）に稼働した名村造船所大阪工場の跡地が、当時の面影を残したまま、平成16年（2004年）、クリエイティブな活動をサポートする複合アートスペース「CCO（クリエイティブセンター大阪）」として整備されている。名村造船所大阪工場跡地は、「ものづくり大国・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37750
135.4006728,34.63522639,野鳥園南港緑地,やちょうえん南港緑地,野鳥園南港緑地（やちょうえん南港緑地）,住之江区南港北3丁目5番30号,住之江区,日本における渡り鳥の重要な生息地であった大阪湾岸一帯に生息する野鳥の保護を目的に設置された。総面積は19.3haで、園内には、海が展望できる丘や林、干潮時に人工干潟になる西池のほか、八角形の屋根を持つ展望塔が整備されている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37744
135.4137238,34.63627817,南港オズ岸壁と大阪南港コスモフェリーターミナル,なんこうおずがんぺきとおおさかなんこうこすもふぇりーたーみなる,南港オズ岸壁と大阪南港コスモフェリーターミナル（なんこうおずがんぺきとおおさかなんこうこすもふぇりーたーみなる）,住之江区南港北2丁目,住之江区,アジア太平洋トレードセンターの一部であるオズの岸壁は大阪市の帆船「あこがれ」の乗船場所となっている。その西北側の大阪南港フェリーターミナルは愛媛や北九州を結ぶ大型フェリーが就航しており、多くの船を眺めることができる。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37751
135.4288108,34.65456403,海遊館,かいゆうかん,海遊館（かいゆうかん）,港区海岸通1-1-10,港区,詳細情報なし,文化・観光,美術館・博物館,文化・観光/美術館・博物館,150,1964
135.4579283,34.63294469,大正区の渡船場の景観,たいしょうくのとせんじょうのけいかん,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,大正区鶴町1丁目16番、船町1丁目3番,大正区,大正区は四方を川と海に囲まれた地域であり、橋梁が整備された現在も、渡船は、区民の生活に欠かせない貴重な足としての役割を担っている。市内に8ヶ所ある渡船場のうち7ヶ所は大正区にあり、その景観には、水の都に思いを馳せさせるとともに、深く歴史を感じさせる力がある,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19513
135.4751894,34.63291736,千本松大橋と千本松渡船場,せんぼんまつおおはしとせんぼんまつとせんじょう,千本松大橋と千本松渡船場（せんぼんまつおおはしとせんぼんまつとせんじょう）,大正区南恩加島1丁目11番、西成区南津守5丁目4番,大正区,千本松渡船は大正区南恩加島1丁目と西成区南津守5丁目を結ぶ（岸壁間230メートル）。千本松の渡しが設けられた年代ははっきりしないが、大正時代の中頃に初めて設けられたものと思われる。現在も通勤通学の貴重な交通手段として利用されている。昭和48年（1973年）、この岸・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19454
135.4756199,34.63277839,大正区の渡船場の景観,たいしょうくのとせんじょうのけいかん,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,大正区南恩加島1丁目11番、西成区南津守5丁目6番,大正区,大正区は四方を川と海に囲まれた地域であり、橋梁が整備された現在も、渡船は、区民の生活に欠かせない貴重な足としての役割を担っている。市内に8ヶ所ある渡船場のうち7ヶ所は大正区にあり、その景観には、水の都に思いを馳せさせるとともに、深く歴史を感じさせる力がある,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19511
135.4379345,34.64442722,港大橋,みなとおおはし,港大橋（みなとおおはし）,港区海岸通3丁目・住之江区南港東9丁目間,港区,登録年月日：平成15年4月11日　概要：昭和49年（1974年）に完成した最大支間長510ｍのダブルデッキ形式のゲルバートラス橋で、阪神高速道路に架けられた橋の中で最も長い支間長を持ち、トラス橋としては世界第3位の規模を誇っている。また、橋下を4万トン級の大型コンテナ船,文化・観光,都市景観資源,文化・観光/都市景観資源,167,13061
135.4586862,34.646372,大正区の渡船場の景観,たいしょうくのとせんじょうのけいかん,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,大正区北恩加島2丁目5番、鶴町4丁目1番,大正区,大正区は四方を川と海に囲まれた地域であり、橋梁が整備された現在も、渡船は、区民の生活に欠かせない貴重な足としての役割を担っている。市内に8ヶ所ある渡船場のうち7ヶ所は大正区にあり、その景観には、水の都に思いを馳せさせるとともに、深く歴史を感じさせる力がある,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19512
135.4592933,34.64739442,千歳橋と千歳渡船場,ちとせばしとちとせとせんじょう,千歳橋と千歳渡船場（ちとせばしとちとせとせんじょう）,大正区北恩加島2丁目5番、鶴町4丁目1番,大正区,千歳渡船は大正区鶴町4 丁目と同区北恩加島2 丁目を結んでいる(岸壁間371m)。鶴町側からは、多くの船が浮かぶ大正内港のかなたに、昭和山(標高33m)や千島団地等が眺められ、尻無川の広々とした河口風景ともあいまって、ウォーターフロントの美しい景観となっている。平成15・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19455
135.4379998,34.65107203,海岸通ギャラリーCASO,かいがんどおりぎゃらりーかそ,海岸通ギャラリーCASO（かいがんどおりぎゃらりーかそ）,港区海岸通2-7-23,港区,詳細情報なし,文化・観光,美術館・博物館,文化・観光/美術館・博物館,150,1967
