X座標,Y座標,施設名（施,EOF
34.59634278,135.4856182,大和橋（やまとばし）,EOF
34.5908025,135.5050609,大阪市立大学（杉本キャンパス）（おおさかしりつだいがく（すぎもときゃんぱす））,EOF
34.59221092,135.5054691,市立大学学術情報総合センター（しりつだいがくがくじゅつじょうほうそうごうせんたー）,EOF
34.59493889,135.5180768,大依羅神社（おおよさみじんじゃ）,EOF
34.59830642,135.5206666,真宗大谷派西光寺（しんしゅうおおたにはさいこうじ）,EOF
34.59851494,135.5205844,苅田の大楠（かりたのおおくす）,EOF
34.60234483,135.4752777,加賀屋新田会所跡（かがやしんでんかいしょあと）,EOF
34.60640597,135.4749253,大阪市立住之江図書館（おおさかしりつすみのえとしょかん）,EOF
34.61101069,135.4752858,住之江公園（すみのえこうえん）,EOF
34.60988319,135.4738749,大阪護國神社と杜（おおさかごこくじんじゃともり）,EOF
34.61199808,135.4884634,住吉公園（すみよしこうえん）,EOF
34.61318581,135.4868679,住吉高燈籠（すみよしたかどうろう）,EOF
34.62545389,135.461873,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,EOF
34.6265845,135.4627179,新木津川大橋と木津川渡船場（しんきづがわおおはしときづがわとせんじょう）,EOF
34.62568969,135.4738884,名村造船所大阪工場跡地（なむらぞうせんじょおおさかこうじょうあとち）,EOF
34.63522639,135.4006728,野鳥園南港緑地（やちょうえん南港緑地）,EOF
34.63627817,135.4137238,南港オズ岸壁と大阪南港コスモフェリーターミナル（なんこうおずがんぺきとおおさかなんこうこすもふぇりーたーみなる）,EOF
34.65456403,135.4288108,海遊館（かいゆうかん）,EOF
34.63294469,135.4579283,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,EOF
34.63291736,135.4751894,千本松大橋と千本松渡船場（せんぼんまつおおはしとせんぼんまつとせんじょう）,EOF
34.63277839,135.4756199,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,EOF
34.64442722,135.4379345,港大橋（みなとおおはし）,EOF
34.646372,135.4586862,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,EOF
34.64739442,135.4592933,千歳橋と千歳渡船場（ちとせばしとちとせとせんじょう）,EOF
34.65107203,135.4379998,海岸通ギャラリーCASO（かいがんどおりぎゃらりーかそ）,EOF
34.65145447,135.4368349,大阪市築港赤レンガ倉庫（おおさかしちっこうあかれんがそうこ）,EOF
34.64777281,135.4684238,大正内港のはしけ桟橋（たいしょうないこうのはしけさんばし）,EOF
34.64916839,135.4740562,千島公園（昭和山）（ちしまこうえん（しょうわやま））,EOF
34.64324844,135.4790674,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,EOF
34.64974925,135.4788114,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,EOF
34.65099186,135.4720673,大阪市立大正図書館（おおさかしりつたいしょうとしょかん）,EOF
34.65651853,135.4625003,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,EOF
34.65114408,135.479341,木津川水門（きづがわすいもん）,EOF
34.65452189,135.4864503,大阪人権博物館（リバティおおさか）（おおさかじんけんはくぶつかん（りばてぃおおさか））,EOF
34.60048889,135.4952257,極楽寺（ごくらくじ）,EOF
34.60594867,135.4894167,地蔵尊のある風景（安立連合町会のなかの紀州街道沿いのお地蔵様）（じぞうそんのあるふうけい（あんりゅうれんごうちょうかいのなかのきしゅうかいどうぞいのおじぞうさま））,EOF
34.60483886,135.5004357,大阪市立住吉図書館（おおさかしりつすみよしとしょかん）,EOF
34.60487397,135.4975069,止止呂支比売命神社（とどろきひめのみことじんじゃ）,EOF
34.59964703,135.510159,吾彦山大聖観音寺（通称あびこ観音）（あびこやまたいしょうかんのんじ（つうしょうあびこかんのん））,EOF
34.61074158,135.4944515,浅沢神社（あさざわじんじゃ）,EOF
34.61024733,135.494401,蔵のある住宅（くらのあるじゅうたく）,EOF
34.61046878,135.4944064,大歳社（おおとししゃ）,EOF
34.60984733,135.4941982,住吉子安地藏寺（すみよしのこやっさん）（すみよしこやすじぞうでら）,EOF
34.61291928,135.4930306,宗教法人住吉大社（しゅうきょうほうじんすみよしたいしゃ）,EOF
34.61169867,135.4983053,木下家住宅（きのしたけじゅうたく）,EOF
34.61137556,135.4957438,熊野街道（ＨＯＰＥゾーン内）（くまのかいどう（ＨＯＰＥぞーんない））,EOF
34.61214225,135.4965502,すみよし村ぎゃらりー（すみよしむらぎゃらりー）,EOF
34.61218956,135.4960119,池田家住宅（いけだけじゅうたく）,EOF
34.61221767,135.4990518,荘厳浄土寺（しょうごんじょうどじ）,EOF
34.61162325,135.5096261,神須牟地神社（かみすむちじんじゃ）,EOF
34.60743186,135.5224493,保利神社（ほりじんじゃ）,EOF
34.61100294,135.5218423,長居植物園（ながいしょくぶつえん）,EOF
34.61026397,135.5223247,自然史博物館（しぜんしはくぶつかん）,EOF
34.61410144,135.4954311,上田家住宅（うえだけじゅうたく）,EOF
34.6155575,135.4938923,生根神社（いくねじんじゃ）,EOF
34.61419017,135.491768,阪堺電気軌道住吉交差点（はんかいでんききどうすみよしこうさてん）,EOF
34.61641767,135.4935211,閻魔地蔵尊（えんまじぞうそん）,EOF
34.61368375,135.496877,天王山東福寺（てんのうざんとうふくじ）,EOF
34.61833906,135.4984569,ＷＩＬＬ帝塚山（ＷＩＬＬてづかやま）,EOF
34.61716658,135.4957289,帝塚山スタジオ（市川家住宅）（てづかやますたじお（いちかわけじゅうたく））,EOF
34.62067292,135.4995874,高谷家住宅（たかたにけじゅうたく）,EOF
34.61934928,135.5024468,万代池公園（まんだいいけこうえん）,EOF
34.62137817,135.5023309,大阪府公文書館（）,EOF
34.623166,135.5004357,蔵のある屋敷町（くらのあるやしきまち）,EOF
34.62112942,135.4965502,帝塚山古墳（てづがやまこふん）,EOF
34.62051397,135.527503,大阪市立住吉図書館（おおさかしりつひがしすみよしとしょかん）,EOF
34.61165169,135.5551997,喜連環濠地区の6つの地蔵尊（北口、尻矢口、西口、馬倉、東口、南口）（きれかんごうちくの６つのじぞうそん（きたぐち、しりやぐち、にしぐち、ばくら、ひがしぐち、みなみぐち））,EOF
34.61157592,135.5539438,喜連環濠地区の6つの地蔵尊（北口、尻矢口、西口、馬倉、東口、南口）（きれかんごうちくの６つのじぞうそん（きたぐち、しりやぐち、にしぐち、ばくら、ひがしぐち、みなみぐち））,EOF
34.61244686,135.5547206,旧屋敷小路（喜連環濠地区内）（きゅうやしきこみち（きれかんごうちくない））,EOF
34.61281061,135.5529959,喜連環濠地区の6つの地蔵尊（北口、尻矢口、西口、馬倉、東口、南口）（きれかんごうちくの６つのじぞうそん（きたぐち、しりやぐち、にしぐち、ばくら、ひがしぐち、みなみぐち））,EOF
34.61318136,135.5553095,式内楯原神社（しきないたてはらじんじゃ）,EOF
34.61300431,135.5562487,喜連環濠地区の6つの地蔵尊（北口、尻矢口、西口、馬倉、東口、南口）（きれかんごうちくの６つのじぞうそん（きたぐち、しりやぐち、にしぐち、ばくら、ひがしぐち、みなみぐち））,EOF
34.61215592,135.5569372,喜連環濠地区の6つの地蔵尊（北口、尻矢口、西口、馬倉、東口、南口）（きれかんごうちくの６つのじぞうそん（きたぐち、しりやぐち、にしぐち、ばくら、ひがしぐち、みなみぐち））,EOF
34.61225464,135.5592535,教西寺（きょうさいじ）,EOF
34.61308933,135.5594193,八坂神社と椋の木（やさかじんじゃとむくのき）,EOF
34.61015603,135.5792689,クラフトパーク（くらふとぱーく）,EOF
34.61364639,135.5545151,喜連環濠地区の6つの地蔵尊（北口、尻矢口、西口、馬倉、東口、南口）（きれかんごうちくの６つのじぞうそん（きたぐち、しりやぐち、にしぐち、ばくら、ひがしぐち、みなみぐち））,EOF
34.61348006,135.5553492,如願寺（にょがんじ）,EOF
34.62327542,135.5513075,旧南海電鉄平野線平野駅跡プロムナード（きゅうなんかいでんてつひらのせんひらのえきあとぷろむなーど）,EOF
34.62359364,135.5551842,小林新聞舗店舗（こばやししんぶんほてんぽ）,EOF
34.62326175,135.5553088,野中山　全興寺（やっちゅうざん　せんこうじ）（やっちゅうざん　せんこうじ）,EOF
34.62727456,135.5505138,大念佛寺（だいねんぶつじ）,EOF
34.62626036,135.552471,末吉家住宅（すえよしけじゅうたく）,EOF
34.62441086,135.5593,大阪市立平野図書館（おおさかしりつひらのとしょかん）,EOF
34.62242861,135.5586323,赤留比売命神社（三十歩神社）（あかるひめのみことじんじゃ（さんじゅうぶじんじゃ））,EOF
34.62538403,135.5660327,奥田邸とその裏の道（おくだていとそのうらのみち）,EOF
34.63446842,135.4948854,大阪市立西成図書館（おおさかしりつにしなりとしょかん）,EOF
34.64106894,135.5105532,大阪市立阿倍野図書館（おおさかしりつあべのとしょかん）,EOF
34.63955903,135.5196109,阿倍野産業会館（あべのさんぎょうかいかん）,EOF
34.65014203,135.510442,市立美術館（しりつびじゅつかん）,EOF
34.649883,135.5110329,慶沢園（けいたくえん）,EOF
34.6507395,135.5076049,天王寺動物園（てんのうじどうぶつえん）,EOF
34.65253372,135.5063874,通天閣（つうてんかく）,EOF
34.65128597,135.5103248,天王寺動植物公園事務所（てんのうじどうしょくぶつこうえんじむしょ）,EOF
34.65058617,135.511361,長生庵（ちょうせいあん）,EOF
34.65304806,135.5108179,一心寺（いっしんじ）,EOF
34.65525936,135.5174064,総本山四天王寺（そうほんざんしてんのうじ）,EOF
34.65316703,135.5397583,大阪市立生野図書館（おおさかしりついくのとしょかん）,EOF
34.62823181,135.5548136,杭全神社（くまたじんじゃ）,EOF
34.62903158,135.5553398,平野環濠跡（ひらのかんごうあと）,EOF
34.65140792,135.549576,生野区花づくり広場（いくのくはなづくりひろば）,EOF
34.66601103,135.3916501,新夕陽ヶ丘（しんゆうひがおか）,EOF
34.66627739,135.4066111,舞洲工場・舞洲スラッジセンター（まいしまこうじょう・まいしますらっじせんたー）,EOF
34.66922681,135.406283,舞洲工場・舞洲スラッジセンター（まいしまこうじょう・まいしますらっじせんたー）,EOF
34.6665105,135.4139191,此花大橋（このはなおおはし）,EOF
34.66600808,135.4316418,ユニバーサル・スタジオ・ジャパン（ゆにばーさる・すたじお・じゃぱん）,EOF
34.67416494,135.4091531,大阪北港マリーナ（おおさかほっこうまりーな）,EOF
34.6642825,135.4571387,桜通り（さくらどおり）,EOF
34.6642825,135.4571387,桜通り（）,EOF
34.66774694,135.4585717,大阪市立港図書館（おおさかしりつみなととしょかん）,EOF
34.66730511,135.4742671,旧岩崎運河（きゅういわさきうんが）,EOF
34.66976911,135.462414,交通科学博物館（こうつうかがくはくぶつかん）,EOF
34.67155258,135.4799332,大阪アドプト・リバー・千代崎（木津川右岸）（おおさかあどぷと・りばー・ちよざき（きづがわうがん）））,EOF
34.66903731,135.476138,京セラドーム大阪（きょうせらどーむおおさか）,EOF
34.66893978,135.4813864,道頓堀川水門（どうとんぼりがわすいもん）,EOF
34.67563989,135.4561375,安治川水門（あじがわすいもん）,EOF
34.68593317,135.4569527,大阪市立此花図書館（おおさかしりつこのはなとしょかん）,EOF
34.67878658,135.4721785,島谷家住宅（しまたにけじゅうたく）,EOF
34.67360014,135.4858203,大阪市公文書館（おおさかしこうぶんしょかん）,EOF
34.67396103,135.4859692,大阪市立中央図書館（おおさかしりつちゅうおうとしょかん）,EOF
